year,month,day,ao_index_cdas
2004,3,4,0.213835612
2004,3,5,0.168205991
2004,3,6,0.737046897
2004,3,7,1.098165393
2004,3,8,0.481530666
2004,3,9,0.147969723
2004,3,10,0.919444859
2004,3,11,0.763286829
2004,3,12,0.267777979
2004,3,13,0.533723295
2004,3,14,1.358744502
2004,3,15,2.179391623
2004,3,16,2.561940193
2004,3,17,2.596830606
2004,3,18,2.357563972
2004,3,19,2.094677448
2004,3,20,1.746342421
2004,3,21,0.558651626
2004,3,22,-0.844715714
2004,3,23,-1.603264332
2004,3,24,-2.170795202
2004,3,25,-1.550191283
2004,3,26,-0.202782869
2004,3,27,0.276262492
2004,3,28,-0.273251414
2004,3,29,-0.611296415
2004,3,30,-0.830632865
2004,3,31,-0.817023933
2004,11,1,1.729018807
2004,11,2,1.097024083
2004,11,3,1.027184963
2004,11,4,1.020090342
2004,11,5,1.244141698
2004,11,6,1.213281035
2004,11,7,1.058477759
2004,11,8,1.209569335
2004,11,9,1.149067044
2004,11,10,1.141134501
2004,11,11,1.355073929
2004,11,12,1.264384747
2004,11,13,1.043537974
2004,11,14,1.274258137
2004,11,15,1.819390178
2004,11,16,1.660090089
2004,11,17,1.282561779
2004,11,18,0.579588413
2004,11,19,0.089937225
2004,11,20,-0.580160141
2004,11,21,-0.368848652
2004,11,22,-0.336493582
2004,11,23,-0.625179112
2004,11,24,-0.318668872
2004,11,25,-0.267737865
2004,11,26,-0.616749763
2004,11,27,-0.514137626
2004,11,28,0.103035994
2004,11,29,0.437844366
2004,11,30,0.450769663
2004,12,1,0.714364886
2004,12,2,1.035123348
2004,12,3,1.464290977
2004,12,4,1.159172177
2004,12,5,1.11901927
2004,12,6,0.882342458
2004,12,7,0.721788287
2004,12,8,0.607111871
2004,12,9,0.106681705
2004,12,10,-0.365679353
2004,12,11,-0.329683065
2004,12,12,-0.791453838
2004,12,13,-0.780093014
2004,12,14,0.309315562
2004,12,15,1.311697364
2004,12,16,1.87112999
2004,12,17,2.054530382
2004,12,18,1.46652627
2004,12,19,1.383601904
2004,12,20,0.709629059
2004,12,21,0.839502394
2004,12,22,1.354469776
2004,12,23,1.993255377
2004,12,24,1.451623321
2004,12,25,0.736833811
2004,12,26,1.836324692
2004,12,27,3.072538853
2004,12,28,2.690268278
2004,12,29,2.298476934
2004,12,30,2.717936754
2004,12,31,3.133063078
2005,1,1,3.08976078
2005,1,2,2.764288664
2005,1,3,3.338266373
2005,1,4,4.450159073
2005,1,5,4.703413963
2005,1,6,4.079077244
2005,1,7,3.64820075
2005,1,8,3.482419014
2005,1,9,3.178695679
2005,1,10,2.587558985
2005,1,11,1.722839475
2005,1,12,0.691921055
2005,1,13,-0.605083764
2005,1,14,-1.500226021
2005,1,15,-0.951954782
2005,1,16,0.863750875
2005,1,17,1.426373005
2005,1,18,0.689814687
2005,1,19,0.731721342
2005,1,20,0.154147655
2005,1,21,-1.423626304
2005,1,22,-2.62084794
2005,1,23,-2.947189093
2005,1,24,-3.132372141
2005,1,25,-3.818710566
2005,1,26,-3.526652098
2005,1,27,-3.006330013
2005,1,28,-2.184833288
2005,1,29,-1.939268947
2005,1,30,-1.7166394
2005,1,31,-1.583067894
2005,2,1,-1.20874846
2005,2,2,-0.448660612
2005,2,3,-0.417547941
2005,2,4,-0.579753697
2005,2,5,-0.854646623
2005,2,6,-0.371069521
2005,2,7,0.484310895
2005,2,8,1.047012091
2005,2,9,1.409707904
2005,2,10,1.478600025
2005,2,11,1.305756807
2005,2,12,-0.109577358
2005,2,13,-1.539448738
2005,2,14,-1.678138137
2005,2,15,-1.462537169
2005,2,16,-0.9030146
2005,2,17,-0.83451879
2005,2,18,-1.062292576
2005,2,19,-1.126250744
2005,2,20,-1.376135945
2005,2,21,-1.968602538
2005,2,22,-2.516780615
2005,2,23,-2.862976074
2005,2,24,-3.221477747
2005,2,25,-3.881937742
2005,2,26,-4.336728096
2005,2,27,-3.992791176
